Spot,date,time,range,height,swell_dir,swell_angle,period,wind_kmh,wind_dir,wind,wind_angle,temp,Conditions
Nazare,24/02,6am,12-20ft,8.5ft,WNW,302,14s,2,ESE,Offshore,105,10°c,Good
Nazare,24/02,12pm,12-18ft,8.5ft,WNW,302,13s,5,WNW,Onshore,298,19°c,Good
Nazare,24/02,6pm,12-18ft,8ft,WNW,302,13s,13,NNW,Onshore,339,12°c,Good
Nazare,25/02,6am,10-16ft,7.5ft,WNW,300,12s,15,NNW,Onshore,327,11°c,Good
Nazare,25/02,12pm,10-16ft,7.5ft,WNW,296,12s,14,WNW,Onshore,293,14°c,Good
Nazare,25/02,6pm,10-16ft,8ft,WNW,297,12s,18,NNW,Onshore,343,13°c,Good
Nazare,26/02,6am,10-16ft,7.5ft,NW,304,11s,23,NNW,Onshore,337,10°c,Good
Nazare,26/02,12pm,9-15ft,7ft,NW,306,11s,18,NNW,Onshore,337,14°c,Good
Nazare,26/02,6pm,7-11ft,5ft,WNW,287,11s,16,NNW,Onshore,339,11°c,Good
Nazare,27/02,6am,10-18ft,8ft,NW,319,14s,3,WNW,Onshore,303,9°c,Good
Nazare,27/02,12pm,10-16ft,7.5ft,NW,318,13s,9,NW,Onshore,311,16°c,Good
Nazare,27/02,6pm,10-16ft,7ft,NW,317,12s,5,N,Onshore,354,12°c,Good
Nazare,28/02,6am,12-18ft,8.5ft,NW,313,13s,4,NE,Offshore,52,7°c,Good
Nazare,28/02,12pm,10-16ft,8ft,NW,310,12s,8,SE,Offshore,142,17°c,Good
Nazare,28/02,6pm,10-16ft,7ft,NW,306,12s,14,WSW,Onshore,248,12°c,Good
Nazare,29/02,6am,7-11ft,4.5ft,WNW,300,11s,30,SSW,Cross-shore,207,13°c,Good
Nazare,29/02,12pm,12-18ft,10ft,WNW,292,11s,16,WNW,Onshore,298,15°c,Good
Nazare,29/02,6pm,12-18ft,9.5ft,WNW,293,11s,17,W,Onshore,279,12°c,Good
Nazare,01/03,6am,10-16ft,8ft,WNW,288,10s,27,WSW,Onshore,250,13°c,Epic
Nazare,01/03,12pm,16-24ft,12ft,WNW,303,14s,26,WSW,Onshore,252,16°c,Epic
Nazare,01/03,6pm,16-24ft,12.5ft,NW,304,14s,27,SW,Cross/Onshore,228,14°c,Epic
Nazare,02/03,6am,16-26ft,14.5ft,WNW,298,12s,27,WNW,Onshore,300,11°c,Epic
Nazare,02/03,12pm,16-26ft,14ft,WNW,303,12s,24,NW,Onshore,307,14°c,Epic
Nazare,02/03,6pm,16-24ft,13ft,NW,305,12s,18,NW,Onshore,313,11°c,Epic
Nazare,03/03,6am,14-20ft,10.5ft,WNW,302,12s,23,WSW,Onshore,244,11°c,Epic
Nazare,03/03,12pm,10-16ft,8ft,WNW,285,11s,23,W,Onshore,274,17°c,Epic
Nazare,03/03,6pm,10-16ft,8ft,WNW,290,11s,17,WNW,Onshore,285,14°c,Epic
Nazare,04/03,6am,12-20ft,9.5ft,NW,304,12s,9,SW,Cross/Onshore,228,13°c,Epic
Nazare,04/03,12pm,12-18ft,8.5ft,WNW,302,12s,9,WSW,Onshore,257,17°c,Epic
Nazare,04/03,6pm,9-14ft,6.5ft,WNW,288,12s,13,SW,Cross/Onshore,226,15°c,Epic
Nazare,05/03,6am,10-16ft,8.5ft,WNW,286,11s,29,NW,Onshore,307,11°c,Epic
Nazare,05/03,12pm,12-20ft,11.5ft,WNW,300,10s,24,NW,Onshore,313,14°c,Epic
Nazare,05/03,6pm,14-20ft,11ft,NW,311,12s,22,NW,Onshore,320,12°c,Epic
Nazare,06/03,6am,12-20ft,9ft,NW,322,14s,23,NNW,Onshore,338,10°c,Epic
Nazare,06/03,12pm,12-20ft,9.5ft,NW,324,14s,26,NNW,Onshore,342,14°c,Epic
Nazare,06/03,6pm,12-18ft,9ft,NW,325,13s,20,NNW,Onshore,340,11°c,Epic
Nazare,07/03,6am,12-18ft,9ft,NW,324,13s,19,NNE,Cross/Onshore,15,7°c,Epic
Nazare,07/03,12pm,10-16ft,8ft,NW,324,12s,9,N,Onshore,360,15°c,Epic
Nazare,07/03,6pm,8-13ft,5.5ft,WNW,291,11s,12,N,Onshore,349,12°c,Epic
Nazare,08/03,6am,6-10ft,3ft,WNW,287,17s,3,N,Cross/Onshore,3,6°c,Epic
Nazare,08/03,12pm,14-22ft,9ft,WNW,295,16s,8,NNW,Onshore,327,14°c,Epic
Nazare,08/03,6pm,16-24ft,11ft,WNW,292,15s,11,NW,Onshore,308,12°c,Epic
Nazare,09/03,6am,14-22ft,10.5ft,WNW,291,14s,9,NNE,Cross/Onshore,13,7°c,Epic
Nazare,09/03,12pm,14-22ft,10ft,WNW,293,14s,14,N,Onshore,350,15°c,Epic
Nazare,09/03,6pm,14-20ft,9.5ft,WNW,295,13s,18,N,Onshore,350,12°c,Epic
Nazare,10/03,6am,12-18ft,8ft,WNW,298,13s,11,NNE,Cross-shore,22,7°c,Epic
Nazare,10/03,12pm,10-16ft,7ft,WNW,299,12s,9,NNW,Onshore,338,17°c,Epic
Nazare,10/03,6pm,10-16ft,7ft,WNW,301,12s,13,N,Onshore,357,13°c,Epic
Nazare,11/03,6am,9-15ft,6.5ft,WNW,299,12s,4,NNE,Cross/Offshore,34,10°c,Epic
Nazare,11/03,12pm,14-22ft,9ft,WNW,288,17s,4,NW,Onshore,311,22°c,Epic
Nazare,11/03,6pm,14-22ft,9.5ft,WNW,289,15s,14,N,Cross/Onshore,6,15°c,Epic
Nazare,12/03,6am,12-20ft,8.5ft,WNW,296,14s,21,N,Cross/Onshore,7,12°c,Epic
Nazare,12/03,12pm,14-22ft,9.5ft,WNW,301,14s,18,NNW,Onshore,345,17°c,Epic
Nazare,12/03,6pm,12-18ft,8.5ft,WNW,294,13s,24,N,Onshore,349,13°c,Epic
