Spot,date,time,range,height_ft,swell_dir,swell_angle,period_sec,wind_kmh,wind_dir,wind,wind_angle,temp_°c,Conditions,Location,Longitud,Latitude
Mosca Point,19/01,6am,1-2ft,1.8,ENE,64,4,6,E,Onshore,97,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,19/01,12pm,0-1ft,1.5,N,356,14,6,ENE,Onshore,56,18,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,19/01,6pm,1-2ft,1.8,NE,52,5,9,NNE,Cross/Onshore,16,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,20/01,6am,1-2ft,3.0,NNE,18,5,20,N,Cross-shore,357,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,20/01,12pm,1-2ft,3.5,NNE,17,6,15,N,Cross-shore,358,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,20/01,6pm,1-2ft,4.0,NNE,13,7,13,NNW,Cross/Offshore,348,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,21/01,6am,2-3ft,6.0,NNE,12,10,13,NNW,Cross/Offshore,338,10,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,21/01,12pm,2-3ft,6.5,N,10,10,11,NNW,Cross/Offshore,339,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,21/01,6pm,2-3ft,6.5,N,10,11,11,NNW,Cross/Offshore,341,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,22/01,6am,2-3ft,6.0,N,9,11,7,NNW,Cross/Offshore,337,10,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,22/01,12pm,2-3ft,5.5,N,9,11,5,NNW,Cross/Offshore,349,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,22/01,6pm,2-3ft,5.5,N,9,11,4,NNW,Cross/Offshore,342,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,23/01,6am,2-3ft,4.5,N,8,11,3,W,Offshore,273,10,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,23/01,12pm,1-2ft,4.5,N,7,12,4,NNE,Cross/Onshore,24,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,23/01,6pm,1-2ft,4.5,N,7,12,3,NE,Onshore,36,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,24/01,6am,1-2ft,4.0,N,5,11,2,SW,Offshore,216,9,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,24/01,12pm,1-2ft,3.5,N,5,10,3,NE,Onshore,39,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,24/01,6pm,1-2ft,3.5,N,4,10,6,N,Cross-shore,357,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,25/01,6am,1ft,3.0,N,0,9,8,WNW,Offshore,300,10,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,25/01,12pm,1ft,3.0,N,358,9,10,NNW,Cross/Offshore,345,16,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,25/01,6pm,1ft,3.0,N,358,9,9,NNW,Cross/Offshore,348,15,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,26/01,6am,1ft,3.0,N,359,8,6,N,Cross/Onshore,10,11,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,26/01,12pm,1ft,2.5,N,359,8,5,NE,Onshore,39,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,26/01,6pm,1ft,2.5,N,360,8,8,NNE,Onshore,26,13,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,27/01,6am,1ft,2.0,NNE,12,7,9,NE,Onshore,51,12,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
Mosca Point,27/01,12pm,1ft,1.9,NNE,20,7,9,ENE,Onshore,61,14,Epic,"(27.834902158209285, -15.418637238847703)",-15.418637238847703,27.834902158209285
